STN Code,Sampling D,Sampling M,Sampling T,Name Of Mo,Inlet/Outl,Latitude,Longitude,Type Water,Name Of Wa,River Basi,Sub Basin,District,State Name,Monitoring,Frequency,Major Poll,Location D,Use Based,Visible Ef,Weather,ApproxDept,Human Acti,Floating M,Colour,Odour,Flow (m3/s,Temperatur,Dissolved,pH,Conductivi,BOD (mg/L),NitrateN (,NitriteN (,Fecal Coli,Total Coli,Fecal Stre,Carbonate,Bicarbonat,Sulphate E,Polynuclea,Polychlori,Trihalomet,Chlorophyl,Total Plan,Productivi,E.Coli (MP,Saprobity,Diversity,PR Ratio,Turbidity,Phenolphth,Total Alka,Chlorides,COD (mg/L),Total Kjel,Ammonical-,Total Hard,Ca as CaCo,Mg as CaCo,Sulphate (,Sodium (mg,Total Diss,Total Fixe,Total Susp,Phosphate,Boron (mg/,Potassium,Fluoride (,Sodium Per,SAR,Any Other,Alpha HCH,Beta HCH (,Gamma HCH,Delta-HCH,"o,p'- DDE","p,p'- DDE","o,p'- DDD","p,p'- DDD","o,p' DDT (","p,p' - DDT",Alpha Endo,Beta Endos,Aldrin (&m,Dieldrin (,"2,4-D (&mi",Chloropyri,Corbamate,MethylPara,Anilophos,Isoprofuro,Alachlor (,Atrazine (,Monochorot,Ethion (&m,Phorate (&,Butachlor,Chlorandan,Heptachlor,Hexachloro,Phosphamid,Malathian,Ortho Phos,Arsenic (m,Cadmium (m,Copper (mg,Lead (mg/L,Chromium T,Nickel (mg,Zinc (mg/L,Mercury (m,Iron (mg/L,Aluminium,Silver (mg,Cobalt (mg,Manganese,Molybdenum,Selenium (,Cyanide (m,Any Othe_1,Naphthalen,Acenaphthy,Acenaphthe,Fluorene (,Phenanthre,Anthracene,Fluoranthe,Pyrene (&m,Benzo(a)An,Chrysene (,Benzo(b)Fl,Benzo(k)Fl,Benzo(a)Py,"Benzo(g,h,","Dibenzo(a,","Indeno(1,2",Sampling S,Reason,Last Updat
1312,"04-01-2021",Jan,"03:00:00.000","RIVER GODAVARI  AT JAIKWADI DAM, VILLAGE- PAITHAN, TALUKA- PAITHAN, DISTRICT-AURANGABAD.",,19.485316999999998,75.370098999999996,RIVER,GODAVARI,GODAVARI,GODAVARI MIDDLE,AURANGABAD,MAHARASHTRA,MAHARASHTRA,MONTHLY,None,,No Information,None,Clear,Greater than 100cm,Others,false,Clear,Odor Free,,"18",6.200000000000000,8.800000000000002,638,"4.4","0.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1(BDL),5(BDL),"114","20","16",NA,"0.86","102","62","40","63.9","10","366",NA,10(BDL),NA,0.5(BDL),"4.4","0.8",NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sampling,,"01-03-2021 15:28"
2158,"04-01-2021",Jan,16:31:00.000,"RIVER GODAVARI AT U/S OF PAITHAN AT PAITHAN INTAKE PUMP HOUSE, VILLAGE- JAYAKWADI, TALUKA- PAITHAN, DISTRICT- AURANGABAD.",,19.515409999999999,75.373069999999998,RIVER,GODAVARI,GODAVARI,GODAVARI MIDDLE,AURANGABAD,MAHARASHTRA,MAHARASHTRA,MONTHLY,None,,No Information,None,Clear,Greater than 100cm,Others,false,Clear,Odor Free,,"18",5.300000000000000,8.720000000000002,755,"5.6","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1(BDL),5(BDL),"130","20.5","20",NA,"0.48","122","72","50","105.6","12","388",NA,10(BDL),"0.83",0.5(BDL),"5.8","0.7",NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sampling,,"01-03-2021 16:25"
2159,"04-01-2021",Jan,13:25:00.000,"RIVER GODAVARI AT D/S OF PAITHAN AT PATHEGAON BRIDGE, VILLAGE- PATHEGAON, TALUKA- PAITHAN, DISTRICT- AURANGABAD.",,19.467269000000002,75.397266999999999,RIVER,GODAVARI,GODAVARI,GODAVARI MIDDLE,AURANGABAD,MAHARASHTRA,MAHARASHTRA,MONTHLY,None,,No Information,None,Clear,Greater than 100cm,Others,false,Clear,Odor Free,,"19",6.500000000000000,8.859999999999999,1649,"2.6","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1(BDL),5(BDL),"250","35","8",NA,"0.53","238","184","54","30.5","15","652",NA,10(BDL),"0.73","0.8","6.8","0.9",NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sampling,,"01-03-2021 16:34"
2160,"04-01-2021",Jan,11:45:00.000,"RIVER GODAVARI AT U/S OF AURANGABAD RESERVOIR,KAIGAON TOKKA NEAR KAIGAON BRIDGE,VILLAGE- KAIGAON,TALUKA- GANGAPUR, DISTRICT- AURANGABAD.",,19.623239999999999,75.022229999999993,RIVER,GODAVARI,GODAVARI,GODAVARI UPPER,AURANGABAD,MAHARASHTRA,MAHARASHTRA,MONTHLY,None,,No Information,None,Clear,Greater than 100cm,Others,false,Clear,Odor Free,,"18",6.200000000000000,8.910000000000000,1854,"4",0.3(BDL),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1(BDL),5(BDL),"292","35.5","12",NA,"0.71","282","208","74","174.2","13","702",NA,10(BDL),"0.7","0.7","4.5","0.8",NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sampling,,"01-03-2021 16:47"
2158,"01-02-2021",Feb,16:31:00.000,"RIVER GODAVARI AT U/S OF PAITHAN AT PAITHAN INTAKE PUMP HOUSE, VILLAGE- JAYAKWADI, TALUKA- PAITHAN, DISTRICT- AURANGABAD.",,19.515409999999999,75.373069999999998,RIVER,GODAVARI,GODAVARI,GODAVARI MIDDLE,AURANGABAD,MAHARASHTRA,MAHARASHTRA,MONTHLY,None,GODAVARI AT U/S OF PAITHAN AT PAITHAN INTAKE PUMP HOUSE,C (Drinking water source),None,Clear,50-100cm,Fishing,false,Clear,None,1.000000000000000,"19",7.400000000000000,8.070000000000000,713,"2",0.3(BDL),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"256",5(BDL),"8",NA,"0.45","240","118","122","118.8","13","584",NA,10(BDL),"0.6",0.5(BDL),"4","0.6",NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sampling,,17-05-2021 18:22
1312,"01-02-2021",Feb,15:00:00.000,"RIVER GODAVARI  AT JAIKWADI DAM, VILLAGE- PAITHAN, TALUKA- PAITHAN, DISTRICT-AURANGABAD.",,19.485316999999998,75.370098999999996,RIVER,GODAVARI,GODAVARI,GODAVARI MIDDLE,AURANGABAD,MAHARASHTRA,MAHARASHTRA,MONTHLY,None,Godavari river Jayakwadi dam,"E (Irrigation, industrial cooling and controlled waste)",None,Clear,Greater than 100cm,"Fishing,Tourism Spot",false,Clear,None,1.000000000000000,"18",7.200000000000000,7.900000000000000,714,"2.4",0.3(BDL),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"252","22","8",NA,"0.23","232","112","120","110","11","568",NA,10(BDL),"0.6","0.8","3.5","0.8",NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sampling,,18-05-2021 13:58
2159,"01-02-2021",Feb,13:25:00.000,"RIVER GODAVARI AT D/S OF PAITHAN AT PATHEGAON BRIDGE, VILLAGE- PATHEGAON, TALUKA- PAITHAN, DISTRICT- AURANGABAD.",,19.467269000000002,75.397266999999999,RIVER,GODAVARI,GODAVARI,GODAVARI MIDDLE,AURANGABAD,MAHARASHTRA,MAHARASHTRA,MONTHLY,Municipal Sewage,Downstream of Godavari river,"E (Irrigation, industrial cooling and controlled waste)",Muncipal Sewage,Clear,50-100cm,"Bathing,Washing",false,Clear,None,1.000000000000000,"18",7.300000000000000,8.080000000000000,706,"2.2","0.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",5(BDL),"270","35","8",NA,"0.3","260","136","124","122","14.2","496",NA,10(BDL),"0.7","0.6","5","0.7",NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sampling,,18-05-2021 14:11
2160,"01-02-2021",Feb,11:45:00.000,"RIVER GODAVARI AT U/S OF AURANGABAD RESERVOIR,KAIGAON TOKKA NEAR KAIGAON BRIDGE,VILLAGE- KAIGAON,TALUKA- GANGAPUR, DISTRICT- AURANGABAD.",,19.623239999999999,75.022229999999993,RIVER,GODAVARI,GODAVARI,GODAVARI UPPER,AURANGABAD,MAHARASHTRA,MAHARASHTRA,MONTHLY,None,Kaigaon,"E (Irrigation, industrial cooling and controlled waste)",None,Clear,50-100cm,Fishing,true,Clear,None,1.000000000000000,"19",7.500000000000000,8.199999999999999,717,"2","0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",5(BDL),"282","36","8",NA,"0.5","270","140","130","113","10","572",NA,10(BDL),"0.7","0.9","3","0.8",NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sampling,,18-05-2021 14:21
2158,"03-03-2021",Mar,16:31:00.000,"RIVER GODAVARI AT U/S OF PAITHAN AT PAITHAN INTAKE PUMP HOUSE, VILLAGE- JAYAKWADI, TALUKA- PAITHAN, DISTRICT- AURANGABAD.",,19.515409999999999,75.373069999999998,RIVER,GODAVARI,GODAVARI,GODAVARI MIDDLE,AURANGABAD,MAHARASHTRA,MAHARASHTRA,MONTHLY,None,U/s of Paithan,"E (Irrigation, industrial cooling and controlled waste)",None,Clear,Greater than 100cm,Fishing,false,Clear,None,1.000000000000000,"32",6.600000000000000,8.320000000000000,720,"2.8","0.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",5(BDL),"132","31","8",NA,"0.31","120","66","54","96.48","11.5","532",NA,10(BDL),"0.9",0.5(BDL),"3.5","0.4",NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sampling,,18-05-2021 14:47
1312,"03-03-2021",Mar,15:00:00.000,"RIVER GODAVARI  AT JAIKWADI DAM, VILLAGE- PAITHAN, TALUKA- PAITHAN, DISTRICT-AURANGABAD.",,19.485316999999998,75.370098999999996,RIVER,GODAVARI,GODAVARI,GODAVARI MIDDLE,AURANGABAD,MAHARASHTRA,MAHARASHTRA,MONTHLY,None,Jayakwadi dam,"E (Irrigation, industrial cooling and controlled waste)",None,Clear,Greater than 100cm,Fishing,true,Clear,None,1.000000000000000,"31",6.700000000000000,8.199999999999999,704,"2.4",0.3(BDL),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1(BDL),5(BDL),"154","30","8",NA,"0.19","140","80","60","74.29","11","524",NA,10(BDL),"0.7","0.8","3","0.7",NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sampling,,18-05-2021 16:43
