STN Code,Sampling Date,Sampling Month,Sampling Time,Name Of Monitoring Location,Inlet/Outlet,Latitude,Longitude,Type Water Body,Name Of WaterBody,River Basin,Sub Basin,District,State Name,Monitoring Agency,Frequency of Monitoring,Major Polluting Sources,Location Details,Use Based Class,Visible Effluent Discharge,Weather,ApproxDepth,Human Activities,Floating Matter,Colour,Odour,Flow (m3/sec),Temperature,Dissolved O2 (mg/L),pH,Conductivity (&micro;mho/cm),BOD (mg/L),NitrateN (mg/L),NitriteN (mg/L),Fecal Coliform  (MPN/100ml),Total Coliform  (MPN/100ml),Fecal Streptococci (MPN/100ml),Carbonate (CO3-) (mg/L),Bicarbonate (HCO3-) (mg/L),Sulphate Endosulfan (&micro;g/L),Polynuclear Aromatic Hydrocarbons (PAH),Polychlorinated Biphenyls (PCB) (&micro;g/L),Trihalomethanes (THM) (&micro;g/L),Chlorophyll (mg/m3),Total Plankton Count (count/L),Productivity ,E.Coli (MPN/100ml),Saprobity Index,Diversity Index,PR Ratio,Turbidity (mg/L),Phenolphthalein Alkalinity (mg/L),Total Alkalinity (mg/L),Chlorides (mg/L),COD (mg/L),Total Kjeldahl Nitrogen (mg/L),Ammonical-N (mg/L),Total Hardness (mg/L),Ca as CaCo3 (mg/L),Mg as CaCo3 (mg/L),Sulphate (mg/L),Sodium (mg/L),Total Dissolved Solids (mg/L),Total Fixed Solids (mg/L),Total Suspended Solids (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium Percentage,SAR,Any Other (General Parameters),Alpha HCH (&micro;g/L),Beta HCH (&micro;g/L),Gamma HCH (Lindane) (&micro;g/L),Delta-HCH (&micro;g/L),"o,p'- DDE (&micro;g/L)","p,p'- DDE (&micro;g/L)","o,p'- DDD (&micro;g/L)","p,p'- DDD (&micro;g/L)","o,p' DDT (&micro;g/L)","p,p' - DDT (&micro;g/L)",Alpha Endosulphan (&micro;g/L),Beta Endosulphan (&micro;g/L),Aldrin (&micro;g/L),Dieldrin (&micro;g/L),"2,4-D (&micro;g/L)",Chloropyriphos (&micro;g/L),Corbamate (&micro;g/L),MethylParathion  (&micro;g/L),Anilophos (&micro;g/L),Isoprofuron (&micro;g/L),Alachlor (&micro;g/L),Atrazine (&micro;g/L),Monochorotophos  (&micro;g/L),Ethion (&micro;g/L),Phorate (&micro;g/L),Butachlor (&micro;g/L),Chlorandane (&micro;g/L),Heptachlor (&micro;g/L),Hexachlorobenzene (&micro;g/L),Phosphamidon (&micro;g/L),Malathian (&micro;g/L),Ortho Phosphate (mg/L),Arsenic (mg/L),Cadmium (mg/L),Copper (mg/L),Lead (mg/L),Chromium Total (mg/L),Nickel (mg/L),Zinc (mg/L),Mercury (mg/L),Iron (mg/L),Aluminium (mg/L),Silver (mg/L),Cobalt (mg/L),Manganese (mg/L),Molybdenum (mg/L),Selenium (mg/L),Cyanide (mg/L),Any Other (Metals),Naphthalene (&micro;g/L),Acenaphthylene (&micro;g/L),Acenaphthene (&micro;g/L),Fluorene (&micro;g/L),Phenanthrene (&micro;g/L),Anthracene (&micro;g/L),Fluoranthene (&micro;g/L),Pyrene (&micro;g/L),Benzo(a)Anthracene (&micro;g/L),Chrysene (&micro;g/L),Benzo(b)Fluoranthene (&micro;g/L),Benzo(k)Fluoranthene (&micro;g/L),Benzo(a)Pyrene (&micro;g/L),"Benzo(g,h,i)Perylene (&micro;g/L)","Dibenzo(a,h)Anthracene (&micro;g/L)","Indeno(1,2,3-Cd)Pyrene (&micro;g/L)",Sampling Status,Reason,Last Updated Date
1312,04-01-2021,Jan,03:00,"RIVER GODAVARI  AT JAIKWADI DAM, VILLAGE- PAITHAN, TALUKA- PAITHAN, DISTRICT-AURANGABAD.",,19.485317,75.370099,RIVER,GODAVARI,GODAVARI,GODAVARI MIDDLE,AURANGABAD,MAHARASHTRA,MAHARASHTRA,MONTHLY,None,,No Information,None,Clear,Greater than 100cm,Others,No,Clear,Odor Free,,18,6.2,8.8,638,4.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1(BDL),5(BDL),114,20,16,NA,0.86,102,62,40,63.9,10,366,NA,10(BDL),NA,0.5(BDL),4.4,0.8,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sampling,,01-03-2021 15:28
2158,04-01-2021,Jan,16:31,"RIVER GODAVARI AT U/S OF PAITHAN AT PAITHAN INTAKE PUMP HOUSE, VILLAGE- JAYAKWADI, TALUKA- PAITHAN, DISTRICT- AURANGABAD.",,19.51541,75.37307,RIVER,GODAVARI,GODAVARI,GODAVARI MIDDLE,AURANGABAD,MAHARASHTRA,MAHARASHTRA,MONTHLY,None,,No Information,None,Clear,Greater than 100cm,Others,No,Clear,Odor Free,,18,5.3,8.72,755,5.6,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1(BDL),5(BDL),130,20.5,20,NA,0.48,122,72,50,105.6,12,388,NA,10(BDL),0.83,0.5(BDL),5.8,0.7,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sampling,,01-03-2021 16:25
2159,04-01-2021,Jan,13:25,"RIVER GODAVARI AT D/S OF PAITHAN AT PATHEGAON BRIDGE, VILLAGE- PATHEGAON, TALUKA- PAITHAN, DISTRICT- AURANGABAD.",,19.467269,75.397267,RIVER,GODAVARI,GODAVARI,GODAVARI MIDDLE,AURANGABAD,MAHARASHTRA,MAHARASHTRA,MONTHLY,None,,No Information,None,Clear,Greater than 100cm,Others,No,Clear,Odor Free,,19,6.5,8.86,1649,2.6,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1(BDL),5(BDL),250,35,8,NA,0.53,238,184,54,30.5,15,652,NA,10(BDL),0.73,0.8,6.8,0.9,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sampling,,01-03-2021 16:34
2160,04-01-2021,Jan,11:45,"RIVER GODAVARI AT U/S OF AURANGABAD RESERVOIR,KAIGAON TOKKA NEAR KAIGAON BRIDGE,VILLAGE- KAIGAON,TALUKA- GANGAPUR, DISTRICT- AURANGABAD.",,19.62324,75.02223,RIVER,GODAVARI,GODAVARI,GODAVARI UPPER,AURANGABAD,MAHARASHTRA,MAHARASHTRA,MONTHLY,None,,No Information,None,Clear,Greater than 100cm,Others,No,Clear,Odor Free,,18,6.2,8.91,1854,4,0.3(BDL),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1(BDL),5(BDL),292,35.5,12,NA,0.71,282,208,74,174.2,13,702,NA,10(BDL),0.7,0.7,4.5,0.8,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sampling,,01-03-2021 16:47
2158,01-02-2021,Feb,16:31,"RIVER GODAVARI AT U/S OF PAITHAN AT PAITHAN INTAKE PUMP HOUSE, VILLAGE- JAYAKWADI, TALUKA- PAITHAN, DISTRICT- AURANGABAD.",,19.51541,75.37307,RIVER,GODAVARI,GODAVARI,GODAVARI MIDDLE,AURANGABAD,MAHARASHTRA,MAHARASHTRA,MONTHLY,None,GODAVARI AT U/S OF PAITHAN AT PAITHAN INTAKE PUMP HOUSE,C (Drinking water source),None,Clear,50-100cm,Fishing,No,Clear,None,1,19,7.4,8.07,713,2,0.3(BDL),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,256,5(BDL),8,NA,0.45,240,118,122,118.8,13,584,NA,10(BDL),0.6,0.5(BDL),4,0.6,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sampling,,17-05-2021 18:22
1312,01-02-2021,Feb,15:00,"RIVER GODAVARI  AT JAIKWADI DAM, VILLAGE- PAITHAN, TALUKA- PAITHAN, DISTRICT-AURANGABAD.",,19.485317,75.370099,RIVER,GODAVARI,GODAVARI,GODAVARI MIDDLE,AURANGABAD,MAHARASHTRA,MAHARASHTRA,MONTHLY,None,Godavari river Jayakwadi dam,"E (Irrigation, industrial cooling and controlled waste)",None,Clear,Greater than 100cm,"Fishing,Tourism Spot",No,Clear,None,1,18,7.2,7.9,714,2.4,0.3(BDL),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,252,22,8,NA,0.23,232,112,120,110,11,568,NA,10(BDL),0.6,0.8,3.5,0.8,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sampling,,18-05-2021 13:58
2159,01-02-2021,Feb,13:25,"RIVER GODAVARI AT D/S OF PAITHAN AT PATHEGAON BRIDGE, VILLAGE- PATHEGAON, TALUKA- PAITHAN, DISTRICT- AURANGABAD.",,19.467269,75.397267,RIVER,GODAVARI,GODAVARI,GODAVARI MIDDLE,AURANGABAD,MAHARASHTRA,MAHARASHTRA,MONTHLY,Municipal Sewage,Downstream of Godavari river,"E (Irrigation, industrial cooling and controlled waste)",Muncipal Sewage,Clear,50-100cm,"Bathing,Washing",No,Clear,None,1,18,7.3,8.08,706,2.2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5(BDL),270,35,8,NA,0.3,260,136,124,122,14.2,496,NA,10(BDL),0.7,0.6,5,0.7,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sampling,,18-05-2021 14:11
2160,01-02-2021,Feb,11:45,"RIVER GODAVARI AT U/S OF AURANGABAD RESERVOIR,KAIGAON TOKKA NEAR KAIGAON BRIDGE,VILLAGE- KAIGAON,TALUKA- GANGAPUR, DISTRICT- AURANGABAD.",,19.62324,75.02223,RIVER,GODAVARI,GODAVARI,GODAVARI UPPER,AURANGABAD,MAHARASHTRA,MAHARASHTRA,MONTHLY,None,Kaigaon,"E (Irrigation, industrial cooling and controlled waste)",None,Clear,50-100cm,Fishing,Yes,Clear,None,1,19,7.5,8.2,717,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5(BDL),282,36,8,NA,0.5,270,140,130,113,10,572,NA,10(BDL),0.7,0.9,3,0.8,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sampling,,18-05-2021 14:21
2158,03-03-2021,Mar,16:31,"RIVER GODAVARI AT U/S OF PAITHAN AT PAITHAN INTAKE PUMP HOUSE, VILLAGE- JAYAKWADI, TALUKA- PAITHAN, DISTRICT- AURANGABAD.",,19.51541,75.37307,RIVER,GODAVARI,GODAVARI,GODAVARI MIDDLE,AURANGABAD,MAHARASHTRA,MAHARASHTRA,MONTHLY,None,U/s of Paithan,"E (Irrigation, industrial cooling and controlled waste)",None,Clear,Greater than 100cm,Fishing,No,Clear,None,1,32,6.6,8.32,720,2.8,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5(BDL),132,31,8,NA,0.31,120,66,54,96.48,11.5,532,NA,10(BDL),0.9,0.5(BDL),3.5,0.4,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sampling,,18-05-2021 14:47
1312,03-03-2021,Mar,15:00,"RIVER GODAVARI  AT JAIKWADI DAM, VILLAGE- PAITHAN, TALUKA- PAITHAN, DISTRICT-AURANGABAD.",,19.485317,75.370099,RIVER,GODAVARI,GODAVARI,GODAVARI MIDDLE,AURANGABAD,MAHARASHTRA,MAHARASHTRA,MONTHLY,None,Jayakwadi dam,"E (Irrigation, industrial cooling and controlled waste)",None,Clear,Greater than 100cm,Fishing,Yes,Clear,None,1,31,6.7,8.2,704,2.4,0.3(BDL),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1(BDL),5(BDL),154,30,8,NA,0.19,140,80,60,74.29,11,524,NA,10(BDL),0.7,0.8,3,0.7,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sampling,,18-05-2021 16:43
